KOPR;NOKOPR;UD01PR;UD02PR;KOSU;KOBO;DATOSUBIC;STFI1;STDV1;STOCNV1;STDV1C;STOCNV1C;RECENOFAC1;DESPNOFAC1;STFI2;STDV2;STOCNV2;STDV2C;STOCNV2C;RECENOFAC2;DESPNOFAC2;RLUD;FMPR;PFPR;HFPR;RUPR;MRPR
PCASPSRC001;SMART COPPER SATINADO ROJO COLONIAL GL;GL;GL;004;015;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;003;0005;0002;01;
PCASPSRC001;SMART COPPER SATINADO ROJO COLONIAL GL;GL;GL;006;007;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;003;0005;0002;01;
PCASPSRJAL055;ESMALTE AGUA SMART ROJO ALERCE BD;GL;BD;004;006;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;003;0005;0002;;
PCASPSRJAL055;ESMALTE AGUA SMART ROJO ALERCE BD;GL;BD;001;001;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;003;0005;0002;;
PCASPSSW70276;ESMALTE AL AGUA SMART PLUS SW-7027 4 GALONES.;GL;BD;004;006;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0001;0002;;
PCASPSSW70276;ESMALTE AL AGUA SMART PLUS SW-7027 4 GALONES.;GL;BD;004;017;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0001;0002;;
PCASPSSW90136;ESMALTE AL AGUA SMART PLUS SW-9013 4 GALONES;GL;BD;004;006;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0001;0002;;
PCASPSTUCAP05;SMART PLUS COLOR TUCAPEL BD.;GL;BD;004;006;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;003;0005;0002;;
PCASPSVERDE06;ESMALTE AL AGUA SMART PLUS VERDE MUSGO 4 GALONES.;GL;BD;004;006;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0005;0002;;
PCASPSVERDE06;ESMALTE AL AGUA SMART PLUS VERDE MUSGO 4 GALONES.;GL;BD;004;017;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0005;0002;;
PCASPSVEREY05;SMART PLUS VERDE LOS REYES BD.;GL;BD;004;006;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;003;0005;0002;;
PCA960ECOPBV6;ESMALTE AGUA COPPER 960 BUENAS VIBRAS 4 GALONES.;GL;BD;004;017;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0001;0002;;
PCA960ECOPBV6;ESMALTE AGUA COPPER 960 BUENAS VIBRAS 4 GALONES.;GL;BD;004;006;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0001;0002;;
PCA960ECOPGA2;ESMALTE AGUA COPPER 960 GLACIAR AUSTRAL 1/4 GL;GL;04;004;006;;8,00;0,00;0,00;0,00;0,00;0,00;0,50;32,00;0,00;0,00;0,00;0,00;0,00;2,00;0,25;003;0001;0002;;
PCA960ECOPGA2;ESMALTE AGUA COPPER 960 GLACIAR AUSTRAL 1/4 GL;GL;04;004;013;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;003;0001;0002;;
PCA960ECOPGA2;ESMALTE AGUA COPPER 960 GLACIAR AUSTRAL 1/4 GL;GL;04;004;017;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;003;0001;0002;;
PCA960ECOPRC1;ESMALTE AL AGUA COPPER C/COBRE 960 ROJO COLONIAL G;GL;GL;004;017;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;003;0001;0002;;
