KOPR;KOSU;KOBO;NOKOPR;UD01PR;UD02PR;PM;PMIFRS;TIMOUL;PPUL01;PPUL02;TAUL;VALI;PMIN;FMPR;PFPR;HFPR;MRPR;RUPR;ULT_COMPRA;ULT_VENTA;STFI;VALSTOCK;PRMEDIO;UNIDAD;
"A105";"004";"004";"HECELLOSE B-30K (S-25)";"KG";"KG";        8583.78326;        8572.62092;"N";        8584.01300;        8584.01300;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";           0.72800;        6248.99421;        8583.78326;"KG";
"C204";"004";"008";"TALCO";"KG";"KG";         277.54019;         277.54019;"N";         276.57200;         276.57200;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";        2836.37300;      787207.50133;         277.54019;"KG";
"C309";"004";"004";"ROXUL 1000";"KG";"KG";       13799.27359;       13799.27359;"N";       14003.52500;       14003.52500;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";          40.00000;      551970.94360;       13799.27359;"KG";
"PCA923NEGRSM1";"004";"015";"ESMALTE SECADO RAPIDO SEMI-BRILLO NEGRO GL.";"GL";"GL";        5945.06881;        5945.06881;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"";"";"";"/  /";"/  /";          39.00000;      231857.68359;        5945.06881;"GL";
"PCA941CLIRM01";"004";"006";"ESMALTE AL AGUA CLINIC ROSA MATERNO GL.";"GL";"GL";        6114.42469;        6114.42469;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0002";"";"";"/  /";"/  /";          19.00000;      116174.06911;        6114.42469;"GL";
"PCA941CLIRM01";"004";"015";"ESMALTE AL AGUA CLINIC ROSA MATERNO GL.";"GL";"GL";        6114.42469;        6114.42469;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0002";"";"";"/  /";"/  /";           2.00000;       12228.84938;        6114.42469;"GL";
"PCA941CLIRM01";"006";"007";"ESMALTE AL AGUA CLINIC ROSA MATERNO GL.";"GL";"GL";        6114.42469;        6114.42469;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0002";"";"";"/  /";"/  /";          12.00000;       73373.09628;        6114.42469;"GL";
"PCA952ELEIFS6";"004";"006";"PASTA ADHESIVA EIFS 4 GALONES.";"GL";"BD";        2064.72656;        2064.72642;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0003";"";"";"";"/  /";"/  /";         200.00000;     1651781.24800;        8258.90624;"BD";
"PCA952ELEIFS6";"004";"015";"PASTA ADHESIVA EIFS 4 GALONES.";"GL";"BD";        2064.72656;        2064.72642;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0003";"";"";"";"/  /";"/  /";           2.00000;       16517.81248;        8258.90624;"BD";
"PCA952ELEIFS6";"007";"014";"PASTA ADHESIVA EIFS 4 GALONES.";"GL";"BD";        2064.72656;        2064.72642;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0003";"";"";"";"/  /";"/  /";           4.00000;       33035.62496;        8258.90624;"BD";
